epoch,train_loss,train_acc,val_loss,val_acc,secs
0,1.438039964192359,0.6686352410608827,,0.7451187335092349,154.61578226089478
1,0.2639260654045997,0.9346075378503168,0.4197417385016118,0.9021108179419524,153.2760615348816
2,0.1686967969849556,0.9543648663159024,0.4872298519360515,0.8678100263852243,153.56090021133423
3,0.4101901707966167,0.8950928809191453,2.760704560393079,0.3796833773087071,157.79593634605408
4,0.2313825497114734,0.9383657253301836,3.393764812273212,0.2430079155672823,157.12975549697876
5,0.2195712265619642,0.9420165360249114,4.6001265815348615,0.2319261213720316,156.72321152687073
6,0.1411608771044906,0.9617738644904972,3.6944512185446494,0.3216358839050132,157.1074573993683
7,1.650154868194218,0.5129389026092559,3.225629709515534,0.17071240105540897,158.5375669002533
8,1.0287534829869531,0.5338773757113712,2.319248950198332,0.4841688654353562,158.31076383590698
9,1.0199728576066631,0.5466552131429185,1.9732531199983683,0.5393139841688654,157.1075587272644
