path,label,split,sha1,phash,group_id
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/b653a24164f3a05bfe126bf84eac87390634b6e7resized_image.png,Amonetize,val,1de122b978d837b4b88e48428a82541ed5d2f3eb,13314959323519489311,0
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/f889e45de944c904dec35c35ad837e76cc093f5cresized_image.png,Amonetize,val,2996fbc73602b91a3cf0bcd6a2fed6ac73189f64,13314959323519489311,0
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/c52ba533b2b9c7daaa9af536f964eee85f7db3d3resized_image.png,Amonetize,val,40dbdc8c979152b5b31cad91dcbb8a9210d2bdf7,13314959323519489311,0
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/bb7fb026f8994a52af7175816d2736df99c74b65resized_image.png,Amonetize,val,73b68665786768372dfa6846916e33fc41cc36c5,13314959323519489311,0
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/e7aa6fa55b68c5c75c335499a06ec457e2f6735bresized_image.png,Amonetize,val,b732875b87e654e6e542488f22af435e83ab414b,13713020678316374090,1
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/d85874cdec171df0a1d50693f080a84c5713b4a6resized_image.png,Amonetize,val,1a8f05623dedbfe81d438b7c5e450b790fc44aed,13314959323519489311,0
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/f18b045f7be11607f4153fad6fe3275616bc4909resized_image.png,Amonetize,val,9978c68166497fa0def22fcd4e5b077a7ce6a115,14608671778621863238,2
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/bd244c708c6eaf6e4c03267ac0dc2405831ffa8eresized_image.png,Amonetize,val,74891e17116bb3ed7dfbb3ec5bf9b1b063ad6ec0,13314959323519489311,0
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/c6ef5d418f62e650d41939875dff4c73428bcb0aresized_image.png,Amonetize,val,dbd20b53865c2b7fdb64ca3b940820d2a0c5ab50,13314959323519489311,0
/kaggle/input/blended-malware-image-dataset/malware_dataset/val/Amonetize/eaaf06229bdfbed87bd8a9ea78a2caf8f11c1a5eresized_image.png,Amonetize,val,a913bc034a8d7a063f634c48fa225d09ff18594c,14608671778621863238,2
